@relation 'Churn'

@attribute State {AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY}
@attribute 'Account Length' numeric
@attribute 'Area Code' numeric
@attribute 'Phone' numeric
@attribute 'Intl Plan' {0,1}
@attribute 'VMail Plan' {0,1}
@attribute 'VMail Message' numeric
@attribute 'Day Mins' numeric
@attribute 'Day Calls' numeric
@attribute 'Day Charge' numeric
@attribute 'Eve Mins' numeric
@attribute 'Eve Calls' numeric
@attribute 'Eve Charge' numeric
@attribute 'Night Mins' numeric
@attribute 'Night Calls' numeric
@attribute 'Night Charge' numeric
@attribute 'Intl Mins' numeric
@attribute 'Intl Calls' numeric
@attribute 'Intl Charge' numeric
@attribute 'CustServ Calls' numeric
@attribute class {0,1}

@data

KS,128,415,3824657,0,1,25,265.100000,110,45.070000,197.400000,99,16.780000,244.700000,91,11.010000,10.000000,3,2.700000,1,0
OH,107,415,3717191,0,1,26,161.600000,123,27.470000,195.500000,103,16.620000,254.400000,103,11.450000,13.700000,3,3.700000,1,0
NJ,137,415,3581921,0,0,0,243.400000,114,41.380000,121.200000,110,10.300000,162.600000,104,7.320000,12.200000,5,3.290000,0,0
OH,84,408,3759999,1,0,0,299.400000,71,50.900000,61.900000,88,5.260000,196.900000,89,8.860000,6.600000,7,1.780000,2,0
OK,75,415,3306626,1,0,0,166.700000,113,28.340000,148.300000,122,12.610000,186.900000,121,8.410000,10.100000,3,2.730000,3,0
AL,118,510,3918027,1,0,0,223.400000,98,37.980000,220.600000,101,18.750000,203.900000,118,9.180000,6.300000,6,1.700000,0,0
MA,121,510,3559993,0,1,24,218.200000,88,37.090000,348.500000,108,29.620000,212.600000,118,9.570000,7.500000,7,2.030000,3,0
MO,147,415,3299001,1,0,0,157.000000,79,26.690000,103.100000,94,8.760000,211.800000,96,9.530000,7.100000,6,1.920000,0,0
LA,117,408,3354719,0,0,0,184.500000,97,31.370000,351.600000,80,29.890000,215.800000,90,9.710000,8.700000,4,2.350000,1,0
WV,141,415,3308173,1,1,37,258.600000,84,43.960000,222.000000,111,18.870000,326.400000,97,14.690000,11.200000,5,3.020000,0,0
IN,65,415,3296603,0,0,0,129.100000,137,21.950000,228.500000,83,19.420000,208.800000,111,9.400000,12.700000,6,3.430000,4,1
RI,74,415,3449403,0,0,0,187.700000,127,31.910000,163.400000,148,13.890000,196.000000,94,8.820000,9.100000,5,2.460000,0,0
IA,168,408,3631107,0,0,0,128.800000,96,21.900000,104.900000,71,8.920000,141.100000,128,6.350000,11.200000,2,3.020000,1,0
MT,95,510,3948006,0,0,0,156.600000,88,26.620000,247.600000,75,21.050000,192.300000,115,8.650000,12.300000,5,3.320000,3,0
